From 2022-03-05T16_25_21-08_00_PT10M55.738S_Walking.tcx

 Distance  (m), Date and Time, Latitude (deg N), Longitude (deg E), Altitude (m)
180.17815971374512,2022-03-06 00:30:57.799,47.94952392578125,-122.37007904052734,116.88197326660156
180.17815971374512,2022-03-06 00:30:59.449,47.94953155517578,-122.37006378173828,115.96503448486328
199.0652313232422,2022-03-06 00:31:00.578,47.94953536987305,-122.37004852294922,115.2542724609375
199.0652313232422,2022-03-06 00:31:01.759,47.94955062866211,-122.37003326416016,115.67483520507812
199.0652313232422,2022-03-06 00:31:03.765,47.949562072753906,-122.37001037597656,116.07325744628906
199.0652313232422,2022-03-06 00:31:04.775,47.94956970214844,-122.37000274658203,116.21741485595703
199.0652313232422,2022-03-06 00:31:05.841,47.949581146240234,-122.3699951171875,116.21741485595703
199.0652313232422,2022-03-06 00:31:06.767,47.949588775634766,-122.36998748779297,114.74409484863281
199.0652313232422,2022-03-06 00:31:08.165,47.94960021972656,-122.3699722290039,114.50517272949219
199.0652313232422,2022-03-06 00:31:10.447,47.949607849121094,-122.36995697021484,114.2296142578125
199.0652313232422,2022-03-06 00:31:12.325,47.94961166381836,-122.36994934082031,114.83763122558594
199.0652313232422,2022-03-06 00:31:14.667,47.94961929321289,-122.36993408203125,114.25174713134766
199.0652313232422,2022-03-06 00:31:16.919,47.94962692260742,-122.36992645263672,114.53069305419922
199.0652313232422,2022-03-06 00:31:19.207,47.94963836669922,-122.36991882324219,114.75712585449219
199.0652313232422,2022-03-06 00:31:22.763,47.949649810791016,-122.36991119384766,112.98690032958984
199.0652313232422,2022-03-06 00:31:29.362,47.949642181396484,-122.36990356445312,112.7464370727539
223.82769393920898,2022-03-06 00:31:31.467,47.94963455200195,-122.36988830566406,113.30376434326172
223.82769393920898,2022-03-06 00:31:33.278,47.94963073730469,-122.36986541748047,111.22758483886719
223.82769393920898,2022-03-06 00:31:35.439,47.94962692260742,-122.3698501586914,111.31588745117188
223.82769393920898,2022-03-06 00:31:37.042,47.94962692260742,-122.36982727050781,112.72064208984375
223.82769393920898,2022-03-06 00:31:38.768,47.949623107910156,-122.36981201171875,111.35845947265625
223.82769393920898,2022-03-06 00:31:40.361,47.94961929321289,-122.36979675292969,111.35845947265625
223.82769393920898,2022-03-06 00:31:42.606,47.949607849121094,-122.36979675292969,111.03771209716797
223.82769393920898,2022-03-06 00:31:45.487,47.94960021972656,-122.36978149414062,110.1772232055664
223.82769393920898,2022-03-06 00:31:47.701,47.94960403442383,-122.36976623535156,109.8621597290039
223.82769393920898,2022-03-06 00:31:49.281,47.94961166381836,-122.3697509765625,110.36587524414062
223.82769393920898,2022-03-06 00:31:50.422,47.949615478515625,-122.36973571777344,110.36587524414062
223.82769393920898,2022-03-06 00:31:51.680,47.94961929321289,-122.36971282958984,109.94612121582031
223.82769393920898,2022-03-06 00:31:53.524,47.94961929321289,-122.36968994140625,110.89517211914062
223.82769393920898,2022-03-06 00:31:54.776,47.949623107910156,-122.36967468261719,110.33387756347656
223.82769393920898,2022-03-06 00:31:56.207,47.949623107910156,-122.36965942382812,110.33387756347656
223.82769393920898,2022-03-06 00:31:57.463,47.94961929321289,-122.36963653564453,110.5670394897461
223.82769393920898,2022-03-06 00:31:58.062,47.94961929321289,-122.36962127685547,110.83848571777344
223.82769393920898,2022-03-06 00:31:59.297,47.94961166381836,-122.36961364746094,110.93595886230469
248.41991806030273,2022-03-06 00:32:00.771,47.949607849121094,-122.36959838867188,111.58502960205078
248.41991806030273,2022-03-06 00:32:02.379,47.94960403442383,-122.36958312988281,111.58502960205078
248.41991806030273,2022-03-06 00:32:03.598,47.9495964050293,-122.36956787109375,110.52264404296875
248.41991806030273,2022-03-06 00:32:04.780,47.94959259033203,-122.36955261230469,111.96621704101562
248.41991806030273,2022-03-06 00:32:06.243,47.949581146240234,-122.36954498291016,111.96621704101562
248.41991806030273,2022-03-06 00:32:07.678,47.94956970214844,-122.36954498291016,112.02384185791016
248.41991806030273,2022-03-06 00:32:09.722,47.94955062866211,-122.3695297241211,110.93595886230469
248.41991806030273,2022-03-06 00:32:10.400,47.94954299926758,-122.3695297241211,112.15248107910156
248.41991806030273,2022-03-06 00:32:11.827,47.94952392578125,-122.36952209472656,112.06930541992188
248.41991806030273,2022-03-06 00:32:13.144,47.94951248168945,-122.36951446533203,112.36458587646484
248.41991806030273,2022-03-06 00:32:14.771,47.949501037597656,-122.36951446533203,111.64366149902344
248.41991806030273,2022-03-06 00:32:16.582,47.94948959350586,-122.3695068359375,113.18484497070312
248.41991806030273,2022-03-06 00:32:18.018,47.94948196411133,-122.36949920654297,114.27001953125
248.41991806030273,2022-03-06 00:32:19.588,47.94947052001953,-122.3695068359375,113.23027038574219
248.41991806030273,2022-03-06 00:32:21.043,47.949459075927734,-122.3695068359375,113.43785095214844
248.41991806030273,2022-03-06 00:32:22.759,47.94944763183594,-122.36951446533203,114.65895080566406
248.41991806030273,2022-03-06 00:32:25.400,47.949440002441406,-122.3695068359375,114.34806823730469
248.41991806030273,2022-03-06 00:32:27.570,47.94942855834961,-122.3695068359375,114.46444702148438
260.78602027893066,2022-03-06 00:32:31.240,47.94942092895508,-122.36949920654297,116.3343276977539
260.78602027893066,2022-03-06 00:32:34.764,47.94941329956055,-122.36949157714844,117.08815002441406
260.78602027893066,2022-03-06 00:32:37.699,47.949405670166016,-122.3694839477539,116.56465911865234
260.78602027893066,2022-03-06 00:32:40.403,47.94940185546875,-122.36946868896484,116.46648406982422
260.78602027893066,2022-03-06 00:32:43.248,47.94940185546875,-122.36945343017578,117.9602279663086
260.78602027893066,2022-03-06 00:32:46.766,47.949405670166016,-122.36943817138672,117.77767944335938
260.78602027893066,2022-03-06 00:32:50.343,47.94940185546875,-122.36942291259766,118.3963623046875
260.78602027893066,2022-03-06 00:32:54.786,47.94940948486328,-122.3694076538086,119.00132751464844
260.78602027893066,2022-03-06 00:32:57.126,47.94941329956055,-122.36939239501953,118.84393310546875
260.78602027893066,2022-03-06 00:32:59.426,47.94942092895508,-122.36936950683594,118.77521514892578
278.1573028564453,2022-03-06 00:33:00.720,47.94942855834961,-122.36935424804688,120.53607940673828
278.1573028564453,2022-03-06 00:33:02.571,47.949432373046875,-122.36933898925781,119.87716674804688
278.1573028564453,2022-03-06 00:33:04.145,47.94943618774414,-122.36932373046875,120.12316131591797
278.1573028564453,2022-03-06 00:33:05.723,47.949440002441406,-122.36930084228516,119.02196502685547
278.1573028564453,2022-03-06 00:33:06.765,47.94944381713867,-122.3692855834961,121.00714874267578
278.1573028564453,2022-03-06 00:33:08.766,47.9494514465332,-122.36927032470703,121.46768188476562
278.1573028564453,2022-03-06 00:33:10.306,47.94945526123047,-122.36925506591797,121.46768188476562
278.1573028564453,2022-03-06 00:33:11.964,47.949462890625,-122.36924743652344,122.14192199707031
278.1573028564453,2022-03-06 00:33:21.943,47.949459075927734,-122.36927032470703,121.6036605834961
278.1573028564453,2022-03-06 00:33:23.598,47.9494514465332,-122.36927032470703,121.5962905883789
278.1573028564453,2022-03-06 00:33:25.294,47.94944381713867,-122.36925506591797,122.31338500976562
278.1573028564453,2022-03-06 00:33:27.782,47.94944381713867,-122.3692398071289,122.45233917236328
278.1573028564453,2022-03-06 00:33:29.904,47.94944763183594,-122.36921691894531,122.22337341308594
300.46310806274414,2022-03-06 00:33:31.602,47.94944763183594,-122.36920166015625,122.76697540283203
300.46310806274414,2022-03-06 00:33:33.323,47.94944763183594,-122.36917877197266,122.33919525146484
300.46310806274414,2022-03-06 00:33:34.766,47.94944763183594,-122.36917114257812,122.71178436279297
300.46310806274414,2022-03-06 00:33:35.898,47.9494514465332,-122.36914825439453,122.71178436279297
300.46310806274414,2022-03-06 00:33:37.619,47.94945526123047,-122.36912536621094,121.89025115966797
300.46310806274414,2022-03-06 00:33:39.218,47.949462890625,-122.36910247802734,123.31000518798828
300.46310806274414,2022-03-06 00:33:40.771,47.949466705322266,-122.36908721923828,123.69075775146484
300.46310806274414,2022-03-06 00:33:42.338,47.94947052001953,-122.36907196044922,123.69075775146484
300.46310806274414,2022-03-06 00:33:43.278,47.94947052001953,-122.36905670166016,122.79300689697266
300.46310806274414,2022-03-06 00:33:44.768,47.94947814941406,-122.36903381347656,124.7252426147461
300.46310806274414,2022-03-06 00:33:46.638,47.94948196411133,-122.36902618408203,124.7252426147461
300.46310806274414,2022-03-06 00:33:48.201,47.94948959350586,-122.36901092529297,124.7416000366211
300.46310806274414,2022-03-06 00:33:49.842,47.94949722290039,-122.3689956665039,125.57340240478516
300.46310806274414,2022-03-06 00:33:52.150,47.94950485229492,-122.36898803710938,127.0999984741211
300.46310806274414,2022-03-06 00:33:54.781,47.94951248168945,-122.36897277832031,127.0999984741211
300.46310806274414,2022-03-06 00:33:56.766,47.949520111083984,-122.36896514892578,127.0999984741211
300.46310806274414,2022-03-06 00:33:59.461,47.949527740478516,-122.36895751953125,127.0999984741211
319.6345405578613,2022-03-06 00:34:03.513,47.94953155517578,-122.36894226074219,127.0999984741211
319.6345405578613,2022-03-06 00:34:10.088,47.94953918457031,-122.36892700195312,127.0999984741211
319.6345405578613,2022-03-06 00:34:13.282,47.94954299926758,-122.36891174316406,127.0999984741211
319.6345405578613,2022-03-06 00:34:15.613,47.94954299926758,-122.368896484375,127.0999984741211
319.6345405578613,2022-03-06 00:34:16.766,47.94954299926758,-122.36888122558594,127.0999984741211
319.6345405578613,2022-03-06 00:34:17.744,47.94954299926758,-122.36886596679688,127.0999984741211
319.6345405578613,2022-03-06 00:34:19.217,47.94953918457031,-122.36884307861328,127.0999984741211
319.6345405578613,2022-03-06 00:34:20.761,47.94953536987305,-122.36882019042969,127.0999984741211
319.6345405578613,2022-03-06 00:34:22.545,47.94953155517578,-122.36880493164062,127.0999984741211
319.6345405578613,2022-03-06 00:34:23.880,47.949527740478516,-122.36878204345703,128.9954071044922
319.6345405578613,2022-03-06 00:34:25.440,47.94952392578125,-122.3687515258789,127.0999984741211
319.6345405578613,2022-03-06 00:34:26.768,47.949520111083984,-122.36873626708984,127.0999984741211
319.6345405578613,2022-03-06 00:34:28.121,47.94951629638672,-122.36872100830078,128.8734893798828
319.6345405578613,2022-03-06 00:34:29.339,47.94951248168945,-122.36871337890625,129.11122131347656
342.6095676422119,2022-03-06 00:34:30.765,47.94950485229492,-122.36869812011719,128.9571075439453
342.6095676422119,2022-03-06 00:34:32.458,47.949501037597656,-122.36868286132812,128.9571075439453
342.6095676422119,2022-03-06 00:34:34.362,47.94949722290039,-122.36866760253906,128.9489288330078
342.6095676422119,2022-03-06 00:34:35.448,47.949501037597656,-122.36865234375,129.05499267578125
342.6095676422119,2022-03-06 00:34:37.364,47.949501037597656,-122.3686294555664,129.13816833496094
342.6095676422119,2022-03-06 00:34:39.877,47.949501037597656,-122.36860656738281,127.0999984741211
342.6095676422119,2022-03-06 00:34:41.167,47.949501037597656,-122.36859130859375,127.0999984741211
342.6095676422119,2022-03-06 00:34:43.703,47.949501037597656,-122.36857604980469,127.0999984741211
342.6095676422119,2022-03-06 00:34:46.144,47.949501037597656,-122.36856079101562,127.0999984741211
342.6095676422119,2022-03-06 00:34:48.327,47.94949722290039,-122.36854553222656,127.0999984741211
342.6095676422119,2022-03-06 00:34:50.144,47.949493408203125,-122.3685302734375,127.0999984741211
342.6095676422119,2022-03-06 00:34:52.140,47.949485778808594,-122.36852264404297,127.0999984741211
342.6095676422119,2022-03-06 00:34:53.757,47.94947814941406,-122.3685073852539,127.0999984741211
342.6095676422119,2022-03-06 00:34:55.651,47.949466705322266,-122.36848449707031,127.0999984741211
342.6095676422119,2022-03-06 00:34:57.762,47.94945526123047,-122.36846923828125,127.0999984741211
342.6095676422119,2022-03-06 00:34:58.769,47.9494514465332,-122.36846160888672,127.0999984741211
342.6095676422119,2022-03-06 00:34:59.818,47.949440002441406,-122.36844635009766,127.0999984741211
365.0766849517822,2022-03-06 00:35:00.942,47.949432373046875,-122.36843872070312,127.0999984741211
365.0766849517822,2022-03-06 00:35:02.319,47.94942092895508,-122.3684310913086,127.0999984741211
365.0766849517822,2022-03-06 00:35:03.596,47.94941329956055,-122.36841583251953,127.0999984741211
365.0766849517822,2022-03-06 00:35:04.768,47.949405670166016,-122.368408203125,127.0999984741211
365.0766849517822,2022-03-06 00:35:05.697,47.949398040771484,-122.36840057373047,127.0999984741211
365.0766849517822,2022-03-06 00:35:07.798,47.94938278198242,-122.36837768554688,127.0999984741211
365.0766849517822,2022-03-06 00:35:08.758,47.94937515258789,-122.36837005615234,127.0999984741211
365.0766849517822,2022-03-06 00:35:10.043,47.949363708496094,-122.36836242675781,127.0999984741211
365.0766849517822,2022-03-06 00:35:11.642,47.9493522644043,-122.36834716796875,127.0999984741211
365.0766849517822,2022-03-06 00:35:12.766,47.949344635009766,-122.36833953857422,127.0999984741211
365.0766849517822,2022-03-06 00:35:14.143,47.949337005615234,-122.36832427978516,127.0999984741211
365.0766849517822,2022-03-06 00:35:15.304,47.94932556152344,-122.36831665039062,127.0999984741211
365.0766849517822,2022-03-06 00:35:16.769,47.94931411743164,-122.3683090209961,127.0999984741211
365.0766849517822,2022-03-06 00:35:17.738,47.94930648803711,-122.36830139160156,127.0999984741211
365.0766849517822,2022-03-06 00:35:19.222,47.94929504394531,-122.36829376220703,127.0999984741211
365.0766849517822,2022-03-06 00:35:25.501,47.94928741455078,-122.3683090209961,127.0999984741211
365.0766849517822,2022-03-06 00:35:28.317,47.94927978515625,-122.36830139160156,127.0999984741211
382.72648429870605,2022-03-06 00:35:34.502,47.94928741455078,-122.36829376220703,127.0999984741211
382.72648429870605,2022-03-06 00:35:38.668,47.94929504394531,-122.36827850341797,127.0999984741211
382.72648429870605,2022-03-06 00:35:41.162,47.94929504394531,-122.3682632446289,127.0999984741211
382.72648429870605,2022-03-06 00:35:43.606,47.94928741455078,-122.36825561523438,127.0999984741211
382.72648429870605,2022-03-06 00:35:45.527,47.949283599853516,-122.36823272705078,127.0999984741211
382.72648429870605,2022-03-06 00:35:47.363,47.949283599853516,-122.36821746826172,127.0999984741211
382.72648429870605,2022-03-06 00:35:48.767,47.949283599853516,-122.36820220947266,127.0999984741211
382.72648429870605,2022-03-06 00:35:50.482,47.94928741455078,-122.36817932128906,127.0999984741211
382.72648429870605,2022-03-06 00:35:52.366,47.94929122924805,-122.3681640625,127.0999984741211
382.72648429870605,2022-03-06 00:35:54.238,47.94928741455078,-122.36814880371094,127.0999984741211
382.72648429870605,2022-03-06 00:35:56.122,47.949283599853516,-122.36813354492188,127.30000305175781
