"Date","Simple Date","Outdoor Temperature (°F)","Feels Like (°F)","Dew Point (°F)","Wind Speed (mph)","Wind Gust (mph)","Max Daily Gust (mph)","Wind Direction (°)","Rain Rate (in/hr)","Event Rain (in)","Daily Rain (in)","Weekly Rain (in)","Monthly Rain (in)","Total Rain (in)","Relative Pressure (inHg)","Humidity (%)","Ultra-Violet Radiation Index","Solar Radiation (W/m^2)","Indoor Temperature (°F)","Indoor Humidity (%)","Absolute Pressure (inHg)","Outdoor Battery","CO2 battery","Indoor Feels Like (°F)","Indoor Dew Point (°F)"
2025-01-31T19:20:00-08:00,2025-01-31 19:20:00,46.8,40.8,45.7,13.9,20.6,20.6,214,0,0.32,0.25,0.35,1.63,198.71,30.36,96,0,0,77.5,34,29.08,1,1,76.5,46.9
2025-01-31T19:15:00-08:00,2025-01-31 19:15:00,46.8,43.9,46,6,8.1,18.3,239,0,0.32,0.25,0.35,1.63,198.71,30.35,97,0,0,77.4,34,29.07,1,1,76.4,46.8
2025-01-31T19:10:00-08:00,2025-01-31 19:10:00,46.8,44.8,46,4.5,8.1,18.3,250,0,0.32,0.25,0.35,1.63,198.71,30.34,97,0,0,77.4,34,29.07,1,1,76.4,46.8
2025-01-31T19:05:00-08:00,2025-01-31 19:05:00,46.8,42,45.7,10.1,14.8,18.3,193,0,0.32,0.25,0.35,1.63,198.71,30.34,96,0,0,77.4,34,29.06,1,1,76.4,46.8
2025-01-31T19:00:00-08:00,2025-01-31 19:00:00,46.6,43.5,45.8,6.3,10.3,18.3,290,0,0.32,0.25,0.35,1.63,198.71,30.33,97,0,0,77.5,34,29.05,1,1,76.5,46.9
2025-01-31T18:55:00-08:00,2025-01-31 18:55:00,46.6,44,45.8,5.4,6.9,18.3,265,0,0.32,0.25,0.35,1.63,198.71,30.33,97,0,0,77.7,34,29.05,1,1,76.8,47.1
2025-01-31T18:50:00-08:00,2025-01-31 18:50:00,46.6,45.1,46.1,3.8,6.9,18.3,257,0,0.32,0.25,0.35,1.63,198.71,30.33,98,0,0,77.5,34,29.05,1,1,76.5,46.9
2025-01-31T18:45:00-08:00,2025-01-31 18:45:00,46.6,41.6,46.1,10.5,17.2,18.3,237,0,0.32,0.25,0.35,1.63,198.71,30.32,98,0,0,77.7,35,29.04,1,1,76.8,47.8
2025-01-31T18:40:00-08:00,2025-01-31 18:40:00,46.6,44.3,46.1,4.9,8.1,18.3,208,0,0.32,0.25,0.35,1.63,198.71,30.32,98,0,0,77.7,34,29.04,1,1,76.8,47.1
2025-01-31T18:35:00-08:00,2025-01-31 18:35:00,46.6,42.2,46.1,8.9,15.9,18.3,239,0,0.32,0.25,0.35,1.63,198.71,30.31,98,0,0,77.7,34,29.04,1,1,76.8,47.1
2025-01-31T18:30:00-08:00,2025-01-31 18:30:00,46.6,43.1,46.1,6.9,10.3,18.3,299,0,0.32,0.25,0.35,1.63,198.71,30.31,98,0,0,77.7,34,29.04,1,1,76.8,47.1
2025-01-31T18:25:00-08:00,2025-01-31 18:25:00,46.4,41.3,45.9,10.7,15.9,18.3,183,0,0.32,0.25,0.35,1.63,198.71,30.32,98,0,0,77.5,34,29.05,1,1,76.5,46.9
2025-01-31T18:20:00-08:00,2025-01-31 18:20:00,46.4,43.4,46.1,6,8.1,18.3,220,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.7,34,29.05,1,1,76.8,47.1
2025-01-31T18:15:00-08:00,2025-01-31 18:15:00,46.4,44.1,46.1,4.9,6.9,18.3,208,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.7,34,29.04,1,1,76.8,47.1
2025-01-31T18:10:00-08:00,2025-01-31 18:10:00,46.4,45.2,46.1,3.4,4.5,18.3,193,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.9,34,29.04,1,1,77,47.3
2025-01-31T18:05:00-08:00,2025-01-31 18:05:00,46.2,45,45.9,3.4,4.5,18.3,251,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.5,34,29.04,1,1,76.5,46.9
2025-01-31T18:00:00-08:00,2025-01-31 18:00:00,46.2,44.6,45.9,3.8,5.8,18.3,277,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.5,35,29.05,1,1,76.6,47.7
2025-01-31T17:55:00-08:00,2025-01-31 17:55:00,46.2,46.2,45.9,2.2,3.4,18.3,224,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.5,35,29.05,1,1,76.6,47.7
2025-01-31T17:50:00-08:00,2025-01-31 17:50:00,46.2,43.8,45.9,4.9,8.1,18.3,183,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.5,34,29.05,1,1,76.5,46.9
2025-01-31T17:45:00-08:00,2025-01-31 17:45:00,46.2,44.2,45.9,4.3,5.8,18.3,209,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.4,34,29.04,1,1,76.4,46.8
2025-01-31T17:40:00-08:00,2025-01-31 17:40:00,46.2,42.7,45.7,6.9,9.2,18.3,254,0,0.32,0.25,0.35,1.63,198.71,30.31,98,0,0,77.5,34,29.04,1,1,76.5,46.9
2025-01-31T17:35:00-08:00,2025-01-31 17:35:00,46.2,42.9,45.7,6.5,10.3,18.3,202,0,0.32,0.25,0.35,1.63,198.71,30.32,98,0,0,77.5,34,29.04,1,1,76.5,46.9
2025-01-31T17:30:00-08:00,2025-01-31 17:30:00,46.2,44.2,45.7,4.3,4.5,18.3,245,0,0.32,0.25,0.35,1.63,198.71,30.31,98,0,0,77.4,34,29.04,1,1,76.4,46.8
2025-01-31T17:25:00-08:00,2025-01-31 17:25:00,46.2,41.2,45.7,10.3,13.6,18.3,254,0,0.32,0.25,0.35,1.63,198.71,30.31,98,0,0,77.4,34,29.04,1,1,76.4,46.8
2025-01-31T17:20:00-08:00,2025-01-31 17:20:00,46.2,44.5,45.9,4,4.5,18.3,205,0,0.32,0.25,0.35,1.63,198.71,30.32,99,0,0,77.5,34,29.04,1,1,76.5,46.9
2025-01-31T17:15:00-08:00,2025-01-31 17:15:00,46.2,43.3,45.9,5.8,10.3,18.3,277,0,0.32,0.25,0.35,1.63,198.71,30.31,99,0,0,77.4,34,29.03,1,1,76.4,46.8
2025-01-31T17:10:00-08:00,2025-01-31 17:10:00,46.2,44.5,45.9,4,5.8,18.3,239,0,0.32,0.25,0.35,1.63,198.71,30.31,99,0,0,77.4,35,29.03,1,1,76.5,47.6
2025-01-31T17:05:00-08:00,2025-01-31 17:05:00,46.2,44,45.9,4.7,5.8,18.3,200,0,0.32,0.25,0.35,1.63,198.71,30.31,99,0,0,77.5,34,29.03,1,1,76.5,46.9
2025-01-31T17:00:00-08:00,2025-01-31 17:00:00,46.2,46.2,45.9,2.9,4.5,18.3,271,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,0.4,77.5,34,29.03,1,1,76.5,46.9
2025-01-31T16:55:00-08:00,2025-01-31 16:55:00,46,46,45.7,2.2,3.4,18.3,242,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,2.9,77.5,34,29.03,1,1,76.5,46.9
2025-01-31T16:50:00-08:00,2025-01-31 16:50:00,46,44,45.7,4.3,5.8,18.3,219,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,1.7,77.4,34,29.03,1,1,76.4,46.8
2025-01-31T16:45:00-08:00,2025-01-31 16:45:00,46,46,45.7,2.2,2.2,18.3,197,0,0.32,0.25,0.35,1.63,198.71,30.29,99,0,1.7,77.5,34,29.02,1,1,76.5,46.9
2025-01-31T16:40:00-08:00,2025-01-31 16:40:00,46,42.6,45.7,6.5,8.1,18.3,207,0,0.32,0.25,0.35,1.63,198.71,30.3,99,0,1.7,77.4,34,29.03,1,1,76.4,46.8
