Date,Outdoor Temperature,Indoor Temperature,0
2020-03-08 15:15:00,43.9,75.4,0
2020-03-08 15:20:00,43.7,75.4,0
2020-03-08 15:25:00,43.7,75.4,0
2020-03-08 15:30:00,43.9,75.7,0
2020-03-08 15:35:00,43.5,75.6,0
2020-03-08 15:40:00,43.2,75.6,0
2020-03-08 15:45:00,42.8,75.4,0
2020-03-08 15:50:00,42.8,75.6,0
2020-03-08 15:55:00,42.8,75.4,0
2020-03-08 16:00,43,75.6,0
2020-03-08 16:05:00,43,75.4,0
2020-03-08 16:10:00,42.8,75.4,0
2020-03-08 16:15:00,42.4,75.6,0
2020-03-08 16:20:00,42.8,75.7,0
2020-03-08 16:25:00,43,75.4,0
2020-03-08 16:30:00,42.8,75.7,0
2020-03-08 16:35:00,42.4,75.7,0
2020-03-08 16:40:00,42.3,75.7,0
2020-03-08 16:45:00,42.8,75.7,0
2020-03-08 16:50:00,42.8,75.9,0
2020-03-08 16:55:00,42.8,75.9,0
2020-03-08 17:00,42.6,75.9,0
2020-03-08 17:05:00,43.3,75.7,0
2020-03-08 17:10:00,42.8,76.1,0
2020-03-08 17:15:00,42.1,75.7,0
2020-03-08 17:20:00,41.9,75.7,0
2020-03-08 17:25:00,41.7,75.6,0
2020-03-08 17:30:00,41.7,75.4,0
2020-03-08 17:35:00,41.7,75.7,0
2020-03-08 17:40:00,41.7,75.9,0
2020-03-08 17:45:00,42.1,75.7,0
2020-03-08 17:50:00,41.7,76.1,0
2020-03-08 17:55:00,41.4,75.9,0
2020-03-08 18:00,41.2,75.9,0
2020-03-08 18:05:00,41.2,75.7,0
2020-03-08 18:10:00,40.5,75.7,0
2020-03-08 18:15:00,40.1,75.7,0
2020-03-08 18:20:00,39.7,75.6,0
2020-03-08 18:25:00,39.6,75.6,0
2020-03-08 18:30:00,39.4,75.6,0
2020-03-08 18:35:00,39.4,75.6,0
2020-03-08 18:40:00,39.2,75.6,0
2020-03-08 18:45:00,38.8,75.4,0
2020-03-08 18:50:00,38.5,75.4,0
2020-03-08 18:55:00,37.9,75.4,0
2020-03-08 19:00,37.4,75.2,0
2020-03-08 19:05:00,37.2,75.2,0
2020-03-08 19:10:00,37,75.2,0
2020-03-08 19:15:00,36.9,75,0
2020-03-08 19:20:00,36.5,74.8,0
2020-03-08 19:25:00,36.7,74.8,0
2020-03-08 19:30:00,36.3,75,0
2020-03-08 19:35:00,36.1,74.8,0
2020-03-08 19:40:00,35.8,75,0
2020-03-08 19:45:00,35.8,74.8,0
2020-03-08 19:50:00,35.8,75,0
2020-03-08 19:55:00,35.8,75,0
2020-03-08 20:00,35.8,74.8,0
2020-03-08 20:05:00,35.4,74.8,0
2020-03-08 20:10:00,35.4,75,0
2020-03-08 20:15:00,35.6,75.2,0
2020-03-08 20:20:00,35.4,75.2,0
2020-03-08 20:25:00,35.1,75.6,0
2020-03-08 20:30:00,35.8,75.7,0
2020-03-08 20:35:00,36.1,75.7,0
2020-03-08 20:40:00,36,75.7,0
2020-03-08 20:45:00,35.8,75.7,0
2020-03-08 20:50:00,35.8,75.6,0
2020-03-08 20:55:00,35.8,75.6,0
2020-03-08 21:00,35.6,75.7,0
2020-03-08 21:05:00,35.6,75.6,0
2020-03-08 21:10:00,35.4,75.6,0
2020-03-08 21:15:00,35.6,75.6,0
2020-03-08 21:20:00,35.2,75.4,0
2020-03-08 21:25:00,35.8,75.4,0
2020-03-08 21:30:00,36,75.6,0
2020-03-08 21:35:00,36.1,75.2,0
2020-03-08 21:40:00,36,75.4,0
2020-03-08 21:45:00,36,75.2,0
2020-03-08 21:50:00,36,75.2,0
2020-03-08 21:55:00,35.6,75,0
2020-03-08 22:00,35.8,75.2,0
2020-03-08 22:05:00,35.4,75,0
2020-03-08 22:10:00,35.6,74.8,0
2020-03-08 22:15:00,36,74.8,0
2020-03-08 22:20:00,36,75,0
2020-03-08 22:25:00,35.8,74.8,0
2020-03-08 22:30:00,35.6,74.8,0
2020-03-08 22:35:00,35.6,74.7,0
2020-03-08 22:40:00,35.4,74.8,0
2020-03-08 22:45:00,35.4,74.5,0
2020-03-08 22:50:00,35.4,74.3,0
2020-03-08 22:55:00,35.4,74.3,0
2020-03-08 23:00,35.4,74.3,0
2020-03-08 23:05:00,35.1,74.3,0
2020-03-08 23:10:00,35.1,74.1,0
2020-03-08 23:15:00,34.9,74.3,0
2020-03-08 23:20:00,35.1,74.1,0
2020-03-08 23:25:00,34.9,74.1,0
2020-03-08 23:30:00,34.7,74.1,0
2020-03-08 23:35:00,34.5,73.9,0
2020-03-08 23:40:00,34.5,73.8,0
2020-03-08 23:45:00,34.7,73.8,0
2020-03-08 23:50:00,34.7,73.9,0
2020-03-08 23:55:00,34.7,73.6,0
2020-03-09 00:00:00,34.3,73.6,0
2020-03-09 00:05:00,34.3,73.6,0
2020-03-09 00:10:00,34.5,73.4,0
2020-03-09 00:15:00,34.9,73.4,0
2020-03-09 00:20:00,34.9,73.4,0
2020-03-09 00:25:00,34.7,73.2,0
2020-03-09 00:30:00,35.2,73,0
2020-03-09 00:35:00,34.9,73.2,0
2020-03-09 00:40:00,35.1,73.2,0
2020-03-09 00:45:00,35.1,73,0
2020-03-09 00:50:00,35.1,73,0
2020-03-09 00:55:00,35.2,73,0
2020-03-09 01: 00:00,35.2,73,0
2020-03-09 01:05:00,34.7,73,0
2020-03-09 01:10:00,34.7,72.7,0
2020-03-09 01:15:00,34.5,73,0
2020-03-09 01:20:00,34.5,72.7,0
2020-03-09 01:25:00,34.5,72.7,0
2020-03-09 01:30:00,34.3,72.5,0
2020-03-09 01:35:00,34.3,72.7,0
2020-03-09 01:40:00,34.3,72.7,0
2020-03-09 01:45:00,34.3,72.7,0
2020-03-09 01:50:00,34.3,72.5,0
2020-03-09 01:55:00,34.2,72.3,0
2020-03-09 02: 00:00,34.2,72.3,0
2020-03-09 02:05:00,34,72.3,0
2020-03-09 02:10:00,34,72.3,0
2020-03-09 02:15:00,33.8,72.3,0
2020-03-09 02:20:00,33.8,72.1,0
2020-03-09 02:25:00,33.8,72.3,0
2020-03-09 02:30:00,33.6,72.3,0
2020-03-09 02:35:00,33.6,72.3,0
2020-03-09 02:40:00,33.4,72.1,0
2020-03-09 02:45:00,33.4,72.1,0
2020-03-09 02:50:00,33.6,72.1,0
2020-03-09 02:55:00,33.4,72.1,0
2020-03-09 03: 00:00,33.4,72,0
2020-03-09 03:05:00,33.4,72,0
2020-03-09 03:10:00,33.3,72,0
2020-03-09 03:15:00,33.3,72,0
2020-03-09 03:20:00,33.3,71.8,0
2020-03-09 03:25:00,33.3,72,0
2020-03-09 03:30:00,33.3,72,0
2020-03-09 03:35:00,33.1,71.8,0
2020-03-09 03:40:00,33.1,72,0
2020-03-09 03:45:00,32.9,71.8,0
2020-03-09 03:50:00,33.1,72,0
2020-03-09 03:55:00,33.3,71.8,0
2020-03-09 04: 00:00,33.1,71.8,0
2020-03-09 04:05:00,32.9,71.8,0
