,Date,Outdoor Temperature (°F),Feels Like (°F),Dew Point (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Hourly Rain (in/hr),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Event Rain (in),Total Rain (in),Relative Pressure (inHg),Outdoor Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Indoor Temperature (°F),Indoor Humidity (%),Indoor Feels Like (°F),Indoor Dew Point (°F),Absolute Pressure (inHg)
Low Datetime,2022-05-24,2022-05-24T01:19:00-07:00,2022-05-24T01:19:00-07:00,2022-05-24T00:52:00-07:00,2022-05-24T01:00:00-07:00,2022-05-24T01:00:00-07:00,2022-05-24T00:00:00-07:00,,2022-05-24T01:00:00-07:00,2022-05-24T01:00:00-07:00,2022-05-24T01:00:00-07:00,2022-05-24T00:00:00-07:00,2022-05-24T01:00:00-07:00,2022-05-24T01:00:00-07:00,2022-05-24T23:55:00-07:00,2022-05-24T19:52:00-07:00,2022-05-24T01:00:00-07:00,2022-05-24T01:00:00-07:00,2022-05-24T04:26:00-07:00,2022-05-24T12:14:00-07:00,2022-05-24T04:26:00-07:00,2022-05-24T04:26:00-07:00,2022-05-24T23:55:00-07:00
Average,2022-05-23,54.9,54.9,48.4,0.8,1.2,6.8,NNE,0,0,0,6.54,0,100.29,30.92,79,1,182.1,77.4,36,76.5,48.5,29.65
High,2022-05-23,65.8,65.8,53.3,5.4,8.1,8.1,,0,0,0,6.82,0,100.3,30.95,95,9,996.8,81.1,39,80.2,51.5,29.67
High Datetime,2022-05-23,2022-05-23T17:30:00-07:00,2022-05-23T17:30:00-07:00,2022-05-23T13:39:00-07:00,2022-05-23T12:34:00-07:00,2022-05-23T16:44:00-07:00,2022-05-23T16:42:00-07:00,,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T11:33:00-07:00,2022-05-23T23:58:00-07:00,2022-05-23T10:28:00-07:00,2022-05-23T10:30:00-07:00,2022-05-23T18:00:00-07:00,2022-05-23T09:51:00-07:00,2022-05-23T17:59:00-07:00,2022-05-23T14:10:00-07:00,2022-05-23T11:33:00-07:00
Low,2022-05-23,46.6,46.6,44.7,0,0,0,,0,0,0,0,0,100.3,30.88,60,0,0,75,34,73.9,46.2,29.61
Low Datetime,2022-05-23,2022-05-23T23:45:00-07:00,2022-05-23T23:45:00-07:00,2022-05-23T23:45:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T00:00:00-07:00,,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T00:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T23:05:00-07:00,2022-05-23T16:03:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T01:00:00-07:00,2022-05-23T08:14:00-07:00,2022-05-23T18:00:00-07:00,2022-05-23T08:14:00-07:00,2022-05-23T08:14:00-07:00,2022-05-23T23:05:00-07:00
Average,2022-05-22,56.2,56,46.5,1,1.4,5.4,NE,0,0,0,6.53,0,100.29,30.95,72,2,241.8,78.4,33,77.3,47.5,29.68
High,2022-05-22,71.8,70.9,52.7,5.6,8.1,8.1,,0,0,0,6.82,0,100.3,31.01,98,7,804.2,83.5,38,81.5,51.2,29.73
High Datetime,2022-05-22,2022-05-22T16:16:00-07:00,2022-05-22T16:16:00-07:00,2022-05-22T15:21:00-07:00,2022-05-22T18:42:00-07:00,2022-05-22T18:42:00-07:00,2022-05-22T15:53:00-07:00,,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T06:57:00-07:00,2022-05-22T04:19:00-07:00,2022-05-22T09:56:00-07:00,2022-05-22T10:24:00-07:00,2022-05-22T17:59:00-07:00,2022-05-22T09:20:00-07:00,2022-05-22T17:59:00-07:00,2022-05-22T13:45:00-07:00,2022-05-22T06:57:00-07:00
Low,2022-05-22,44.2,44.2,42.8,0,0,1.1,,0,0,0,0,0,100.3,30.89,40,0,0,74.3,29,73.1,44.9,29.62
Low Datetime,2022-05-22,2022-05-22T06:07:00-07:00,2022-05-22T06:07:00-07:00,2022-05-22T17:06:00-07:00,2022-05-22T01:17:00-07:00,2022-05-22T01:17:00-07:00,2022-05-22T00:00:00-07:00,,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T00:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T18:19:00-07:00,2022-05-22T17:03:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T01:00:00-07:00,2022-05-22T07:47:00-07:00,2022-05-22T16:41:00-07:00,2022-05-22T07:47:00-07:00,2022-05-22T07:47:00-07:00,2022-05-22T18:19:00-07:00
Average,2022-05-21,53.8,53.8,46.1,0.7,1.1,8.3,NE,0,0,0.93,6.54,0,100.29,30.95,77,1,216.1,78.2,34,77.1,47.6,29.67
High,2022-05-21,67.3,67.3,52.7,8.9,11.4,15.9,,0,0,0.97,6.82,0,100.3,30.98,99,9,1004.3,85.6,38,83.4,51.1,29.7
